# Per-repo data for scripts/post_notices.sh. Tab-separated, five columns:
#
#   repo<TAB>name<TAB>slug<TAB>skip_reason<TAB>extra_opening
#
# - skip_reason: if non-empty, this row is skipped with the reason printed
# - extra_opening: optional sentence prepended to the standard body (used
#   for repos where the repo name doesn't match the catalogue entry name)
#
# Skip rows (own project, soft-touch projects that need a personal email
# instead) are pre-populated. Edit if your judgement differs.
#
# Order is by camp (syntactic → verification → orchestration → unclassified)
# matching the catalogue's organisation. The script processes top-to-bottom
# so editing this order changes which repos get posted to first.
#
# Comment lines (#) and blank lines are skipped.

# --- Syntactic ---
imjasonh/loom	B-IR	b-ir		The catalogue entry covers B-IR — one of the three exploration languages described in your blog post (alongside TBIR and Loom). Let me know if I have conflated something.
brettinhere/Codong	Codong	codong
kerv/laze	Laze	laze	weekend experiment — handle personally
magpie-lang/magpie	Magpie	magpie
voltropy/mog	Mog	mog
Nerd-Lang/nerd-lang-core	NERD	nerd
AvitalTamir/sever	Sever	sever	thought experiment / art piece — handle personally
weetster/tacit	Tacit	tacit
x07lang/x07	X07	x07

# --- Verification ---
sunholo-data/ailang	AILANG	ailang
jasisz/aver	Aver	aver
lhaig/intent	Intent	intent
jordanhubbard/nanolang	NanoLang	nanolang
KikotVit/pact-lang	Pact	pact
arcanist-sh/hx	Raskell	raskell		The catalogue entry is for Raskell — the repo here is `hx`. Let me know if I have conflated something.
aallan/vera	Vera	vera	own project — skip
vercel-labs/zerolang	Zero	zero

# --- Orchestration ---
escapeboy/boruna	Boruna	boruna
alliecatowo/lumen	Lumen	lumen
alantech/marsha	Marsha	marsha

# --- Unclassified ---
korulang/koru	Koru	koru	tongue-in-cheek pre-alpha, anonymous author — handle personally
mronus/spec	Spec	spec
hvoetsch/valea	Valea	valea
